"Cannot write log entry because no export file is open.","Cannot write log entry because no export file is open."
"Could not save Log Entry","Could not save Log Entry"
"Could not delete log entry","Could not delete log entry"
"Could not delete log entries","Could not delete log entries"
"%1 could not delete log entries","%1 could not delete log entries"
"Vertex Logging","Vertex Logging"
"Vertex Request Logging","Vertex Request Logging"
"Log Rotation","Log Rotation"
"Perform an action on logs over a certain age at a regular interval","Perform an action on logs over a certain age at a regular interval"
"When exported, entries are stored at <strong>var/vertexlog_Y-m-d.csv</strong>","When exported, entries are stored at <strong>var/vertexlog_Y-m-d.csv</strong>"
"Log Entry Lifetime (days)","Log Entry Lifetime (days)"
"How long a log should exist before it is eligible to be rotated. A value of 0 will mark all logs as eligible","How long a log should exist before it is eligible to be rotated. A value of 0 will mark all logs as eligible"
"Rotation Frequency","Rotation Frequency"
"How often the Rotation Action should be applied to the logs","How often the Rotation Action should be applied to the logs"
"Rotation Time","Rotation Time"
"Rotation Action","Rotation Action"
